origin_station,weekday_am_peak,difference_am_peak_to_off,weekday_am_offpeak,weekday_pm_peak,weekday_pm_offpeak,weekday_day_hours,weekday_overnight_hours,saturday_am_peak,saturday_am_offpeak,saturday_pm_peak,saturday_pm_offpeak,saturday_day_hours,saturday_overnight_hours,sunday_am_peak,sunday_am_offpeak,sunday_pm_peak,sunday_pm_offpeak,sunday_day_hours,sunday_overnight_hours,destination_station,distance,total_routes_origin
BETHESDA STATION,0.7875,-0.07283519553072626,0.8603351955307262,0.9623287671232876,0.6018518518518519,0.9013888888888889,0.182370820668693,0.7,0.8296089385474861,0.8321917808219178,0.5509259259259259,0.8277777777777777,0.12158054711246201,0.7041666666666667,0.8296089385474861,0.8356164383561644,0.5,0.8263888888888888,0.1519756838905775,SILVER SPRING STATION,3.5719009983250714,10
FOREST GLEN STATION,0.25,0.029329608938547497,0.2206703910614525,0.2465753424657534,0.032407407407407406,0.25,0,0.16666666666666666,0.22346368715083798,0.2054794520547945,0,0.2222222222222222,0,0.16666666666666666,0.22346368715083798,0.2054794520547945,0,0.2222222222222222,0,SILVER SPRING STATION,1.7186886809947262,2
GERMANTOWN TRANSIT CENTER,0.9666666666666667,0.0476722532588455,0.9189944134078212,0.7945205479452054,0.5833333333333334,0.9152777777777777,0.24924012158054712,0.775,0.8743016759776536,0.8458904109589042,0.4675925925925926,0.8625,0.08814589665653495,0.6291666666666667,0.8603351955307262,0.7294520547945206,0.5370370370370371,0.7972222222222223,0.030395136778115502,SHADY GROVE STATION,6.8195306835133005,8
GLENMONT STATION,0.9375,0.1469972067039106,0.7905027932960894,0.8767123287671232,0.5370370370370371,0.8680555555555556,0.3009118541033435,0.625,0.6536312849162011,0.6335616438356164,0.46296296296296297,0.6444444444444445,0.16717325227963525,0.625,0.6536312849162011,0.6267123287671232,0.4537037037037037,0.6388888888888888,0.15501519756838905,WHEATON STATION,1.6838911351790078,12
GROSVENOR STATION,0.20833333333333334,0.1804003724394786,0.027932960893854747,0.23972602739726026,0,0.14722222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,WHEATON STATION,2.8831829625519743,6
LAKEFOREST TRANSIT CENTER,1,0.016759776536312887,0.9832402234636871,0.9212328767123288,0.7824074074074074,0.9875,0.2553191489361702,0.825,0.88268156424581,0.8801369863013698,0.5787037037037037,0.8805555555555555,0.1033434650455927,0.825,0.8715083798882681,0.8458904109589042,0.6388888888888888,0.8875,0.03951367781155015,SHADY GROVE STATION,2.946138895893144,8
MEDICAL CENTER STATION,0.6958333333333333,0.18745344506517692,0.5083798882681564,0.5034246575342466,0.27314814814814814,0.5569444444444445,0.09422492401215805,0.225,0.29329608938547486,0.25,0.21296296296296297,0.275,0.030395136778115502,0.225,0.29329608938547486,0.25,0.21296296296296297,0.275,0.030395136778115502,BETHESDA STATION,1.0529112275538168,6
MONTGOMERY MALL TRANSIT CENTER,0.875,-0.046787709497206675,0.9217877094972067,0.9726027397260274,0.625,0.9444444444444444,0.182370820668693,0.7583333333333333,0.8687150837988827,0.886986301369863,0.5046296296296297,0.875,0.12158054711246201,0.7583333333333333,0.8770949720670391,0.8835616438356164,0.4861111111111111,0.8777777777777778,0.1519756838905775,BETHESDA STATION,3.831510790604318,6
NORTH BETHESDA STATION,0.8958333333333334,0.30644785847299816,0.5893854748603352,0.886986301369863,0.27314814814814814,0.7583333333333333,0.06382978723404255,0.2916666666666667,0.44692737430167595,0.410958904109589,0.23148148148148148,0.40694444444444444,0.030395136778115502,0.2916666666666667,0.39106145251396646,0.3767123287671233,0.23148148148148148,0.3680555555555556,0.030395136778115502,ROCKVILLE STATION,3.1558918227460797,9
ROCKVILLE STATION,0.9583333333333334,0.05609869646182497,0.9022346368715084,0.958904109589041,0.49074074074074076,0.9458333333333333,0.182370820668693,0.6083333333333333,0.8044692737430168,0.7157534246575342,0.46296296296296297,0.7638888888888888,0.11854103343465046,0.5666666666666667,0.6927374301675978,0.6335616438356164,0.4861111111111111,0.6666666666666666,0.060790273556231005,SHADY GROVE STATION,2.6240617985949046,17
SHADY GROVE STATION,0.9875,0.1299581005586593,0.8575418994413407,0.934931506849315,0.5462962962962963,0.9166666666666666,0.18541033434650456,0.6166666666666667,0.7877094972067039,0.6506849315068494,0.42592592592592593,0.7194444444444444,0.08814589665653495,0.5333333333333333,0.7067039106145251,0.6438356164383562,0.47685185185185186,0.6527777777777778,0.060790273556231005,ROCKVILLE STATION,2.6240617985949046,24
SILVER SPRING STATION,1,0,1,0.9965753424657534,0.6203703703703703,0.9986111111111111,0.303951367781155,0.8083333333333333,0.8994413407821229,0.9041095890410958,0.6157407407407407,0.9,0.14893617021276595,0.8083333333333333,0.8994413407821229,0.9041095890410958,0.5138888888888888,0.9,0.08814589665653495,WHEATON STATION,3.2538303907862804,30
TRAVILLE TRANSIT CENTER,1,0,1,0.9143835616438356,0.39814814814814814,0.9930555555555556,0.0911854103343465,0.6041666666666666,0.7541899441340782,0.6438356164383562,0.21296296296296297,0.7375,0,0.6041666666666666,0.7541899441340782,0.6438356164383562,0.21296296296296297,0.7375,0,SHADY GROVE STATION,2.8692584396026115,5
TWINBROOK STATION,0.6041666666666666,-0.018738361266294246,0.6229050279329609,0.678082191780822,0.2777777777777778,0.6569444444444444,0.0911854103343465,0.4375,0.5642458100558659,0.5205479452054794,0.23148148148148148,0.5444444444444444,0.030395136778115502,0.2916666666666667,0.3770949720670391,0.3904109589041096,0.23148148148148148,0.375,0.030395136778115502,ROCKVILLE STATION,2.1368604534033597,6
