station_name,best_station,distance,total_routes_station
BETHESDA STATION,SILVER SPRING STATION,3.5719009983250714,10
FOREST GLEN STATION,SILVER SPRING STATION,1.7186886809947262,2
GERMANTOWN TRANSIT CENTER,SHADY GROVE STATION,6.8195306835133005,8
GLENMONT STATION,WHEATON STATION,1.6838911351790078,12
GROSVENOR STATION,WHEATON STATION,2.8831829625519743,6
LAKEFOREST TRANSIT CENTER,SHADY GROVE STATION,2.946138895893144,8
MEDICAL CENTER STATION,BETHESDA STATION,1.0529112275538168,6
MONTGOMERY MALL TRANSIT CENTER,BETHESDA STATION,3.8315107906043187,6
NORTH BETHESDA STATION,ROCKVILLE STATION,3.1558918227460797,9
ROCKVILLE STATION,SHADY GROVE STATION,2.6240617985949046,17
SHADY GROVE STATION,ROCKVILLE STATION,2.6240617985949046,24
SILVER SPRING STATION,WHEATON STATION,3.2538303907862804,30
TRAVILLE TRANSIT CENTER,SHADY GROVE STATION,2.8692584396026115,5
TWINBROOK STATION,ROCKVILLE STATION,2.1368604534033597,6
WHEATON STATION,SILVER SPRING STATION,3.2538303907862804,14
