station,BETHESDA STATION,FOREST GLEN STATION,GERMANTOWN TRANSIT CENTER,GLENMONT STATION,GROSVENOR STATION,LAKEFOREST TRANSIT CENTER,MEDICAL CENTER STATION,MONTGOMERY MALL TRANSIT CENTER,NORTH BETHESDA STATION,ROCKVILLE STATION,SHADY GROVE STATION,SILVER SPRING STATION,TRAVILLE TRANSIT CENTER,TWINBROOK STATION,WHEATON STATION,total_routes
BETHESDA STATION,0,3.4344631905822114,16.389886217768428,5.839445065420579,3.0972767774118237,12.909487260589461,1.0529112275538168,3.8315107906043187,4.476132201638884,7.4763647356424405,10.099962396178649,3.5719009983250714,9.446806955228071,5.520257251361318,4.385252522557044,10
FOREST GLEN STATION,3.4344631905822114,0,16.40778351907464,3.248368536913163,3.25763120693267,12.588729784360986,2.9915174976990584,5.285742680190516,4.236103220643549,7.249443931286666,9.64259098334434,1.7186886809947262,9.993921964067402,5.133417159566422,1.5737843703302552,2
GERMANTOWN TRANSIT CENTER,16.389886217768428,16.40778351907464,0,13.995344063129387,13.638066232229946,3.9429635905356744,15.463021326312237,12.618445992601059,12.321055918093897,9.182077608526233,6.8195306835133005,18.0659796637033,7.017356302744915,11.318864950597304,15.122172218095795,8
GLENMONT STATION,5.839445065420579,3.248368536913163,13.995344063129387,0,3.577585355059458,10.068139092669828,4.941075196208365,5.4629764442229165,3.3579065946309057,5.278510267452635,7.1904854684034225,4.883985810696987,8.333159415809947,3.6133476105022235,1.6838911351790078,12
GROSVENOR STATION,3.0972767774118237,3.25763120693267,13.638066232229946,3.577585355059458,0,9.99726211771292,2.0461587298526926,2.1234927821222884,1.3983736167309309,4.518491632176796,7.115653340103042,4.640336777490059,6.917931378109278,2.456586684426292,2.8831829625519743,6
LAKEFOREST TRANSIT CENTER,12.909487260589461,12.588729784360986,3.9429635905356744,10.068139092669828,9.99726211771292,0,11.926420550409336,9.29192330458315,8.629771818808733,5.4789510798024414,2.946138895893144,14.273747494531314,4.161126077233702,7.590370189835457,11.248706388648154,8
MEDICAL CENTER STATION,1.0529112275538168,2.9915174976990584,15.463021326312237,4.941075196208365,2.0461587298526926,11.926420550409336,0,3.0478868657561127,3.4315273829680533,6.470799153264003,9.090702481508911,3.6376716581404853,8.573433142021694,4.481054418166336,3.617628006898801,6
MONTGOMERY MALL TRANSIT CENTER,3.8315107906043187,5.285742680190516,12.618445992601059,5.4629764442229165,2.1234927821222884,9.29192330458315,3.0478868657561127,0,2.2409753896079887,4.1053281062103295,6.653455626760803,6.460663647892669,5.632665474159921,2.7938661539919583,4.998136446264413,6
NORTH BETHESDA STATION,4.476132201638884,4.236103220643549,12.321055918093897,3.3579065946309057,1.3983736167309309,8.629771818808733,3.4315273829680533,2.2409753896079887,0,3.1558918227460797,5.730344494316209,5.797435226974207,5.758006355654425,1.0588750775020772,3.3602041865135224,9
ROCKVILLE STATION,7.4763647356424405,7.249443931286666,9.182077608526233,5.278510267452635,4.518491632176796,5.4789510798024414,6.470799153264003,4.1053281062103295,3.1558918227460797,0,2.6240617985949046,8.88822027211309,3.0718131886226376,2.1368604534033597,6.068423446924155,17
SHADY GROVE STATION,10.099962396178649,9.64259098334434,6.8195306835133005,7.1904854684034225,7.115653340103042,2.946138895893144,9.090702481508911,6.653455626760803,5.730344494316209,2.6240617985949046,0,11.328813340756838,2.8692584396026115,4.678708447626584,8.312100480483947,24
SILVER SPRING STATION,3.5719009983250714,1.7186886809947262,18.0659796637033,4.883985810696987,4.640336777490059,14.273747494531314,3.6376716581404853,6.460663647892669,5.797435226974207,8.88822027211309,11.328813340756838,0,11.53001639673941,6.755296146412323,3.2538303907862804,30
TRAVILLE TRANSIT CENTER,9.446806955228071,9.993921964067402,7.017356302744915,8.333159415809947,6.917931378109278,4.161126077233702,8.573433142021694,5.632665474159921,5.758006355654425,3.0718131886226376,2.8692584396026115,11.53001639673941,0,4.927932619347481,8.98061232786325,5
TWINBROOK STATION,5.520257251361318,5.133417159566422,11.318864950597304,3.6133476105022235,2.456586684426292,7.590370189835457,4.481054418166336,2.7938661539919583,1.0588750775020772,2.1368604534033597,4.678708447626584,6.755296146412323,4.927932619347481,0,4.053117265335206,6
WHEATON STATION,4.385252522557044,1.5737843703302552,15.122172218095795,1.6838911351790078,2.8831829625519743,11.248706388648154,3.617628006898801,4.998136446264413,3.3602041865135224,6.068423446924155,8.312100480483947,3.2538303907862804,8.98061232786325,4.053117265335206,0,14
