trip_id,route_id,route_short_name,service_id,direction_id,arrival_time,stop_id,stop_name,station_name,stop_sequence,shape_dist_traveled,timepoint,agency
13792,8925,1,1,0,15:15:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13792,8925,1,1,0,15:43:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13793,8925,1,1,0,05:45:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13793,8925,1,1,0,06:09:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.3292,1,Montgomery County MD Ride On
13794,8925,1,1,0,06:20:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13794,8925,1,1,0,06:44:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.3292,1,Montgomery County MD Ride On
13795,8925,1,1,0,06:55:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13795,8925,1,1,0,07:21:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.3292,1,Montgomery County MD Ride On
13796,8925,1,1,0,07:30:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13796,8925,1,1,0,07:57:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,48,11.1492,1,Montgomery County MD Ride On
13797,8925,1,1,0,08:35:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13797,8925,1,1,0,09:06:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.3292,1,Montgomery County MD Ride On
13798,8925,1,1,0,09:37:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,48,11.1492,1,Montgomery County MD Ride On
13798,8925,1,1,0,09:05:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13799,8925,1,1,0,09:40:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13799,8925,1,1,0,10:04:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13800,8925,1,1,0,10:38:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13800,8925,1,1,0,10:15:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13801,8925,1,1,0,10:50:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13801,8925,1,1,0,11:14:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13802,8925,1,1,0,11:25:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13802,8925,1,1,0,11:48:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13803,8925,1,1,0,12:00:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13803,8925,1,1,0,12:24:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13804,8925,1,1,0,12:35:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13804,8925,1,1,0,12:58:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13805,8925,1,1,0,13:10:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13805,8925,1,1,0,13:34:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13806,8925,1,1,0,14:08:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13806,8925,1,1,0,13:45:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13807,8925,1,1,0,14:15:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13807,8925,1,1,0,14:39:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13808,8925,1,1,0,14:45:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13808,8925,1,1,0,15:08:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13809,8925,1,1,0,16:33:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13809,8925,1,1,0,16:05:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13810,8925,1,1,0,17:13:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13810,8925,1,1,0,16:45:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13811,8925,1,1,0,16:25:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13811,8925,1,1,0,16:52:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13812,8925,1,1,0,20:02:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13812,8925,1,1,0,19:40:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13813,8925,1,1,0,18:38:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13813,8925,1,1,0,18:05:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13814,8925,1,1,0,08:05:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13814,8925,1,1,0,08:36:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.3292,1,Montgomery County MD Ride On
13815,8925,1,1,0,17:45:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13815,8925,1,1,0,18:17:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,38,9.2591,1,Montgomery County MD Ride On
13816,8925,1,1,0,17:58:00,17609,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,43,10.1076,1,Montgomery County MD Ride On
13816,8925,1,1,0,17:25:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
13817,8925,1,1,0,17:05:00,2700,FRIENDSHIP HEIGHTS STATION & BAY F,NA,1,0,1,Montgomery County MD Ride On
