trip_id,arrival_time,departure_time,stop_id,trip_headsign,route_short_name,direction_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,stop_name,station_name,agency
40615,17:27:00,17:27:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40616,16:52:00,16:52:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40617,16:19:00,16:19:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40618,15:46:00,15:46:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40619,15:11:00,15:11:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40620,22:06:00,22:06:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40621,21:31:00,21:31:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40622,20:57:00,20:57:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40623,19:47:00,19:47:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40624,19:12:00,19:12:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40625,18:37:00,18:37:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40626,18:02:00,18:02:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40627,14:36:00,14:36:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40628,14:01:00,14:01:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40629,13:26:00,13:26:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40630,12:49:00,12:49:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40631,12:14:00,12:14:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40632,11:39:00,11:39:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40633,10:27:00,10:27:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40634,09:52:00,09:52:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40635,09:17:00,09:17:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40636,08:42:00,08:42:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
40637,08:07:00,08:07:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
