trip_id,arrival_time,departure_time,stop_id,trip_headsign,route_short_name,direction_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,stop_name,station_name,agency
13994,13:20:00,13:20:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13995,12:45:00,12:45:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13996,12:10:00,12:10:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13997,11:35:00,11:35:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13998,10:25:00,10:25:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13999,09:50:00,09:50:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14000,09:15:00,09:15:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14001,08:40:00,08:40:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14002,08:05:00,08:05:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14003,07:30:00,07:30:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14004,06:54:00,06:54:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14005,06:14:00,06:14:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
14007,11:00:00,11:00:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13980,17:27:00,17:27:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13981,16:52:00,16:52:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13982,16:17:00,16:17:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13983,15:40:00,15:40:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13984,15:05:00,15:05:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13985,22:04:00,22:04:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13986,21:29:00,21:29:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13987,20:54:00,20:54:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
