trip_id,arrival_time,departure_time,stop_id,trip_headsign,route_short_name,direction_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,stop_name,station_name,agency
13792,15:43:00,15:43:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13793,06:09:00,06:09:00,17609,Silver Spring,1,0,43,NA,0,0,10.3292,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13794,06:44:00,06:44:00,17609,Silver Spring,1,0,43,NA,0,0,10.3292,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13795,07:21:00,07:21:00,17609,Silver Spring,1,0,43,NA,0,0,10.3292,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13796,07:57:00,07:57:00,17609,Silver Spring,1,0,48,NA,0,0,11.1492,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13797,09:06:00,09:06:00,17609,Silver Spring,1,0,43,NA,0,0,10.3292,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13798,09:37:00,09:37:00,17609,Silver Spring,1,0,48,NA,0,0,11.1492,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13799,10:04:00,10:04:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13800,10:38:00,10:38:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13801,11:14:00,11:14:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13802,11:48:00,11:48:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13803,12:24:00,12:24:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13804,12:58:00,12:58:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13805,13:34:00,13:34:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13806,14:08:00,14:08:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13807,14:39:00,14:39:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13808,15:08:00,15:08:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13809,16:33:00,16:33:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13810,17:13:00,17:13:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13811,16:52:00,16:52:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13812,20:02:00,20:02:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13813,18:38:00,18:38:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13814,08:36:00,08:36:00,17609,Silver Spring,1,0,43,NA,0,0,10.3292,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13815,18:17:00,18:17:00,17609,Silver Spring,1,0,38,NA,0,0,9.2591,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
13816,17:58:00,17:58:00,17609,Silver Spring via Leland,1,0,43,NA,0,0,10.1076,1,8925,SILVER SPRING STATION & BAY 106,SILVER SPRING STATION,Montgomery County MD Ride On
