service_id monday tuesday wednesday thursday friday saturday sunday start_date end_date
1 0 0 0 0 0 0 0 20260621 20260912
2 0 0 0 0 0 0 0 20260621 20260912
3 0 0 0 0 0 0 0 20260621 20260912
4 0 0 0 0 0 0 0 20260621 20260912
5 0 0 0 0 0 0 0 20260621 20260912
6 0 0 0 0 0 0 0 20260621 20260912
7 0 0 0 0 0 0 0 20260621 20260912
8 0 0 0 0 0 0 0 20260621 20260912
9 0 0 0 0 0 0 0 20260621 20260912
10 0 0 0 0 0 0 0 20260621 20260912
11 1 1 1 1 0 0 0 20260621 20260912
12 0 0 0 0 1 0 0 20260621 20260912
13 0 0 0 0 0 0 1 20260621 20260912
14 0 0 0 0 0 1 0 20260621 20260912
