route_id agency_id route_short_name route_long_name route_desc route_type route_url route_color route_text_color
A11 1 A11 Pentagon-Huntington NA 3 NA 0091c8 ffffff
A12 1 A12 "Ballston-Hunting Point" NA 3 NA 0091c8 ffffff
A1X 1 A1X "Pentagon City-Braddock Rd" NA 3 NA 005594 ffffff
A25 1 A25 "Pentagon-S Fairlington-Landmark" NA 3 NA 0091c8 ffffff
A27 1 A27 "Pentagon-Shirlington-Van Dorn St" NA 3 NA 0091c8 ffffff
A28 1 A28 "Pentagon-Holmes Run-Landmark" NA 3 NA 0091c8 ffffff
A29 1 A29 "Metro Ctr-Alexandria W" NA 3 NA 0091c8 ffffff
A40 1 A40 "Columbia Pike-National Landing" NA 3 NA d83a1f ffffff
A49 1 A49 "Columbia Pike-Metro Center" NA 3 NA 005594 ffffff
A58 1 A58 "Wilson Blvd-Farragut Sq" NA 3 NA 005594 ffffff
A66 1 A66 Pentagon-Shirlington-Culmore NA 3 NA 0091c8 ffffff
A70 1 A70 "Glebe Rd" NA 3 NA 005594 ffffff
A71 1 A71 "Ballston-King St" NA 3 NA 735fa9 ffffff
A76 1 A76 "Carlin Springs Rd" NA 3 NA 735fa9 ffffff
A90 1 A90 "Pentagon-Mark Center" NA 3 NA 005594 ffffff
C11 1 C11 "S Capitol St" NA 3 NA 005594 ffffff
C13 1 C13 "MLK Av-Washington Highlands" NA 3 NA d83a1f ffffff
C15 1 C15 "MLK Av-Southern Av" NA 3 NA 005594 ffffff
C17 1 C17 "MLK Av-Bellevue" NA 3 NA 0091c8 ffffff
C21 1 C21 "Alabama Av-Benning Rd" NA 3 NA d83a1f ffffff
C23 1 C23 "Alabama Av-Division Av" NA 3 NA 0091c8 ffffff
C25 1 C25 "Pomeroy Rd-Skyland" NA 3 NA 0091c8 ffffff
C26 1 C26 "Stanton Rd-Skyland" NA 3 NA 0091c8 ffffff
C27 1 C27 "Naylor Rd-Shepherd Pkwy" NA 3 NA 0091c8 ffffff
C29 1 C29 "Anacostia-Southern Av" NA 3 NA 005594 ffffff
C31 1 C31 "Minnesota Av" NA 3 NA d83a1f ffffff
C33 1 C33 "Sheriff Rd" NA 3 NA 0091c8 ffffff
C35 1 C35 "Deanwood-Naylor Road" NA 3 NA 0091c8 ffffff
C37 1 C37 "Lincoln Hts-Potomac Av" NA 3 NA 005594 ffffff
C41 1 C41 "Bladensburg Rd" NA 3 NA d83a1f ffffff
C43 1 C43 "Maryland Av" NA 3 NA 735fa9 ffffff
C51 1 C51 "U St-Anacostia" NA 3 NA 005594 ffffff
C53 1 C53 "U St-Congress Hts" NA 3 NA d83a1f ffffff
C55 1 C55 "Union Station-L'Enfant Plaza" NA 3 NA 0091c8 ffffff
C57 1 C57 "U St-Capitol Hts" NA 3 NA 0091c8 ffffff
C61 1 C61 Brookland-Tenleytown NA 3 NA d83a1f ffffff
C63 1 C63 "Deanwood-Georgia Av" NA 3 NA 0091c8 ffffff
C71 1 C71 "18 St" NA 3 NA 0091c8 ffffff
C75 1 C75 "Takoma-Georgia Av" NA 3 NA 005594 ffffff
C77 1 C77 "Takoma-Fort Totten" NA 3 NA 0091c8 ffffff
C81 1 C81 "Military Rd" NA 3 NA 005594 ffffff
C83 1 C83 "Barnaby Woods-Friendship Hts" NA 3 NA 0091c8 ffffff
C85 1 C85 "Nebraska Av-Foggy Bottom" NA 3 NA 0091c8 ffffff
C87 1 C87 "Silver Spring-Tenleytown" NA 3 NA 005594 ffffff
C91 1 C91 "LeDroit Park-Georgetown" NA 3 NA 0091c8 ffffff
D10 1 D10 "Pennsylvania Av" NA 3 NA 005594 ffffff
D1X 1 D1X "Pennsylvania Av Limited" NA 3 NA 005594 ffffff
D20 1 D20 "H St" NA 3 NA d83a1f ffffff
D24 1 D24 "E Capitol St" NA 3 NA 0091c8 ffffff
D2X 1 D2X "H St Limited" NA 3 NA 005594 ffffff
D30 1 D30 "N Capitol St" NA 3 NA 005594 ffffff
D32 1 D32 "Rhode Island Av-Fort Lincoln" NA 3 NA 005594 ffffff
D34 1 D34 "W Hyattsville-Edgewood-Metro Ctr" NA 3 NA 0091c8 ffffff
D36 1 D36 "K St-Ivy City" NA 3 NA 005594 ffffff
D40 1 D40 "7 St-Georgia Av" NA 3 NA 005594 ffffff
D44 1 D44 "11 St" NA 3 NA 005594 ffffff
D4X 1 D4X "7 St-Georgia Av Limited" NA 3 NA d83a1f ffffff
D50 1 D50 "14 St" NA 3 NA 005594 ffffff
D5X 1 D5X "14 St Limited" NA 3 NA d83a1f ffffff
D60 1 D60 "16 St" NA 3 NA 005594 ffffff
D6X 1 D6X "16 St Limited" NA 3 NA d83a1f ffffff
D70 1 D70 "Connecticut Av" NA 3 NA 005594 ffffff
D72 1 D72 "Connecticut Av-Mt Pleasant" NA 3 NA d83a1f ffffff
D74 1 D74 "Rhode Island Av-Foggy Bottom" NA 3 NA 005594 ffffff
D80 1 D80 "Wisconsin Av-Union Station" NA 3 NA d83a1f ffffff
D82 1 D82 "Wisconsin Av-Foggy Bottom" NA 3 NA 005594 ffffff
D90 1 D90 "Massachusetts Av-Tenleytown" NA 3 NA 0091c8 ffffff
D94 1 D94 "Gallery Place-Sibley Hospital" NA 3 NA 0091c8 ffffff
D96 1 D96 "Massachusetts Av-Bethesda" NA 3 NA 0091c8 ffffff
EXP 1 EXP EXP NA 3 NA ffffff 000000
F19 1 F19 "Mt Vernon Estate Exp" NA 3 NA 0091c8 ffffff
F1X 1 F1X "Richmond Hwy" NA 3 NA 005594 ffffff
F20 1 F20 "Leesburg Pike" NA 3 NA d83a1f ffffff
F23 1 F23 "Little River Tpk-George Mason" NA 3 NA 735fa9 ffffff
F24 1 F24 "Little River Tpk-Vienna" NA 3 NA 735fa9 ffffff
F26 1 F26 "E Falls Church-Annandale" NA 3 NA 735fa9 ffffff
F28 1 F28 "Kings Park W Exp" NA 3 NA 0091c8 ffffff
F29 1 F29 "Braddock Rd" NA 3 NA 0091c8 ffffff
F44 1 F44 "Columbia Pike-Pentagon" NA 3 NA 0091c8 ffffff
F50 1 F50 "Washington Blvd" NA 3 NA 735fa9 ffffff
