stop_id stop_code stop_name stop_desc stop_lat stop_lon zone_id stop_url
89 3000087 "Tantallon Dr+Asbury Dr" NA 38.716335 -77.000114 NA NA
90 3000088 "Tantallon Dr+Buckmaster Ln" NA 38.716396 -76.997025 NA NA
91 3000089 "Tantallon Dr+Asbury Dr" NA 38.716396 -77.000595 NA NA
92 3000090 "E Tantallon Dr+Buckmaster Ln" NA 38.7164 -76.996758 NA NA
93 3000091 "Ft Washington Rd+Tantallon Dr" NA 38.718193 -77.005394 NA NA
94 3000092 "Ft Washington Rd+Tantallon Dr" NA 38.718266 -77.005501 NA NA
97 3000095 "Gable Ln+E Tantallon Dr" NA 38.718739 -76.993973 NA NA
98 3000096 "Gable Ln+E Tantallon Dr" NA 38.718826 -76.993965 NA NA
103 3000101 "Ft Washington Rd+Rexburg Av" NA 38.722328 -77.004227 NA NA
104 3000102 "Ft Washington Rd+Rexburg Av" NA 38.722588 -77.004364 NA NA
107 3000105 "Ft Washington Rd+Swan Creek Rd E" NA 38.724377 -77.004715 NA NA
108 3000106 "Ft Washington Rd+Swan Creek Rd E" NA 38.724434 -77.00489 NA NA
114 3000109 "Ft Washington Rd+Lourdes Dr" NA 38.729156 -77.004768 NA NA
115 3000110 "Ft Washington Rd+Autumnwood Ln" NA 38.729591 -77.004776 NA NA
121 3000116 "Ft Washington Rd+Beech St" NA 38.733643 -77.004257 NA NA
126 3000119 "Ft Washington Rd+Kimberly Woods Ln" NA 38.736027 -77.003426 NA NA
127 3000120 "Ft Washington Rd+Kimberly Woods Ln" NA 38.736294 -77.003418 NA NA
130 3000123 "Ft Washington Rd+#11310" NA 38.740074 -77.001038 NA NA
133 3000126 "Ft Washington Rd+#11310" NA 38.740238 -77.000931 NA NA
134 3000127 "Livingston Rd+Ft Washington Rd" NA 38.742771 -76.999046 NA NA
135 3000128 "Livingston Rd+Ft Washington Rd" NA 38.742828 -76.999199 NA NA
155 5000008 "Huntsman Bl+Fairfax County Pkwy" NA 38.752228 -77.266457 NA NA
156 5000009 "Huntsman Bl+Fairfax County Pkwy" NA 38.752239 -77.266632 NA NA
164 5000013 "Huntsman Bl+Dorothy Ln" NA 38.754311 -77.265099 NA NA
165 5000014 "Huntsman Bl+Dorothy Ln" NA 38.754429 -77.265144 NA NA
183 5000027 "Huntsman Bl+Golden Ball Tavern Ct" NA 38.75782 -77.262939 NA NA
184 5000028 "Huntsman Bl+Golden Ball Tavern Ct" NA 38.757877 -77.263062 NA NA
186 3000150 "Oxon Hill Rd+Livingston Rd" NA 38.757889 -76.997437 NA NA
187 3000151 "Oxon Hill Rd+Livingston Rd" NA 38.757977 -76.997383 NA NA
194 3000152 "Ft Foote Rd+Wedgewood Dr" NA 38.758511 -77.018661 NA NA
196 3000153 "Ft Foote Rd+Loughran Rd" NA 38.758705 -77.019791 NA NA
198 3000154 "Ft Foote Rd+Sandy Bar Dr" NA 38.758915 -77.023354 NA NA
200 3000155 "Ft Foote Rd+Ivanhoe Rd" NA 38.759033 -77.023491 NA NA
204 3000158 "Ft Foote Rd+Indian Queen ES" NA 38.759319 -77.015991 NA NA
208 5000043 "Huntsman Bl+Rockefeller Ln" NA 38.759514 -77.262177 NA NA
210 3000159 "Ft Foote Rd+Round Table Dr" NA 38.759678 -77.015305 NA NA
216 3000162 "Ft Foote Rd+Lark Ln" NA 38.760704 -77.024254 NA NA
217 3000163 "Ft Foote Rd+Traverse Wy" NA 38.760761 -77.010597 NA NA
219 3000164 "Ft Foote Rd S+Stony Hill Dr" NA 38.760986 -77.005692 NA NA
220 3000165 "Ft Foote Rd+Messina Dr" NA 38.760929 -77.010712 NA NA
222 3000166 "Ft Foote Rd+Lark Ln" NA 38.760902 -77.024406 NA NA
242 3000171 "Ft Foote Rd+Fortside Dr" NA 38.76498 -77.025078 NA NA
244 3000172 "Ft Foote Rd+Bluffwood Ln" NA 38.765202 -77.024925 NA NA
255 5000069 "Huntsman Bl+Sydenstricker Rd" NA 38.76667 -77.253578 NA NA
267 5000075 "Huntsman Bl+Side Saddle Rd" NA 38.767845 -77.253021 NA NA
270 5000078 "Huntsman Bl+Side Saddle Rd" NA 38.76812 -77.253021 NA NA
284 5000088 "Huntsman Bl+Houndmaster Rd" NA 38.769638 -77.250168 NA NA
286 5000090 "Huntsman Bl+Houndmaster Rd" NA 38.770084 -77.249863 NA NA
288 3000188 "Ft Foote Rd+Bluffwood Ln" NA 38.770275 -77.021088 NA NA
