route_id service_id trip_id trip_headsign direction_id block_id shape_id
P94 1 15804130 "West to National Harbor" 1 A001 P94:51
P94 1 16094130 "East to Suitland" 0 A001 P94:03
P94 1 28263130 "West to National Harbor" 1 A001 P94:51
P94 1 29923130 "East to Suitland" 0 A001 P94:03
P93 1 10251130 "West to Birchwood" 1 A001 P93:51
P93 1 25167130 "East to Suitland" 0 A001 P93:05
P93 1 9036130 "West to Birchwood" 1 A001 P93:51
P93 1 31862130 "East to Suitland" 0 A001 P93:05
P94 2 15804090 "West to National Harbor" 1 A001 P94:51
P94 2 16094090 "East to Suitland" 0 A001 P94:03
P94 2 28263090 "West to National Harbor" 1 A001 P94:51
P94 2 29923090 "East to Suitland" 0 A001 P94:03
P93 2 10251090 "West to Birchwood" 1 A001 P93:51
P93 2 25167090 "East to Suitland" 0 A001 P93:05
P93 2 9036090 "West to Birchwood" 1 A001 P93:51
P93 2 31862090 "East to Suitland" 0 A001 P93:05
P94 3 15804160 "West to National Harbor" 1 A001 P94:51
P94 3 16094160 "East to Suitland" 0 A001 P94:03
P94 3 28263160 "West to National Harbor" 1 A001 P94:51
P94 3 29923160 "East to Suitland" 0 A001 P94:03
P93 3 10251160 "West to Birchwood" 1 A001 P93:51
P93 3 25167160 "East to Suitland" 0 A001 P93:05
P93 3 9036160 "West to Birchwood" 1 A001 P93:51
P93 3 31862160 "East to Suitland" 0 A001 P93:05
P94 4 15804140 "West to National Harbor" 1 A001 P94:51
P94 4 16094140 "East to Suitland" 0 A001 P94:03
P94 4 28263140 "West to National Harbor" 1 A001 P94:51
P94 4 29923140 "East to Suitland" 0 A001 P94:03
P93 4 10251140 "West to Birchwood" 1 A001 P93:51
P93 4 25167140 "East to Suitland" 0 A001 P93:05
P93 4 9036140 "West to Birchwood" 1 A001 P93:51
P93 4 31862140 "East to Suitland" 0 A001 P93:05
P94 5 15804100 "West to National Harbor" 1 A001 P94:51
P94 5 16094100 "East to Suitland" 0 A001 P94:03
P94 5 28263100 "West to National Harbor" 1 A001 P94:51
P94 5 29923100 "East to Suitland" 0 A001 P94:03
P93 5 10251100 "West to Birchwood" 1 A001 P93:51
P93 5 25167100 "East to Suitland" 0 A001 P93:05
P93 5 9036100 "West to Birchwood" 1 A001 P93:51
P93 5 31862100 "East to Suitland" 0 A001 P93:05
D10 6 36395110 "West to Foggy Bottom" 1 A001 D10:53
D10 6 30544110 "East to Southern Av Station" 0 A001 D10:05
D10 6 8618110 "West to Foggy Bottom" 1 A001 D10:53
D10 6 14191110 "East to Southern Av Station" 0 A001 D10:05
D1X 6 26217110 "West to Metro Center" 1 A001 D1X:53
D1X 6 14834110 "East to Naylor Rd Station" 0 A001 D1X:04
D1X 6 14192110 "West to Metro Center" 1 A001 D1X:53
D1X 6 6719110 "East to Naylor Rd Station" 0 A001 D1X:04
D1X 6 40176110 "West to Metro Center" 1 A001 D1X:53
D1X 6 18312110 "East to Naylor Rd Station" 0 A001 D1X:04
P94 7 15804120 "West to National Harbor" 1 A001 P94:51
P94 7 16094120 "East to Suitland" 0 A001 P94:03
P94 7 28263120 "West to National Harbor" 1 A001 P94:51
P94 7 29923120 "East to Suitland" 0 A001 P94:03
P93 7 10251120 "West to Birchwood" 1 A001 P93:51
