stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6,20006,AIRPARK RD & CHEMAULT WAY,,39.171066,-77.157424,,,,,,2
8,20008,AIRPARK RD & WOODFIELD RD,,39.169907,-77.155664,,,,,,2
10,20010,AIRPARK RD & WOODFIELD RD,,39.168628,-77.153772,,,,,,2
12,20012,AIRPARK RD & MUNCASTER MILL RD,,39.149141,-77.146686,,,,,,2
14,20014,AIRPARK RD & MUNCASTER MILL RD,,39.148931,-77.146369,,,,,,2
16,20016,AIRPARK RD & WOODFIELD RD,,39.169897,-77.155257,,,,,,2
18,20018,AIRPARK RD & ORBIT DR,,39.171301,-77.158023,,,,,,2
20,20020,AIRPARK RD & CESSNA AVE,,39.170413,-77.159961,,,,,,2
26,20026,AMHERST AVE & BLUERIDGE AVE,,39.043212,-77.047825,,,,,,2
28,20028,AMHERST AVE & ELKIN ST,,39.044733,-77.047855,,,,,,2
30,20030,AMHERST AVE & ARCOLA AVE,,39.046961,-77.048459,,,,,,2
32,20032,AMHERST AVE & ARCOLA AVE,,39.046696,-77.048582,,,,,,2
34,20034,AMHERST AVE & ELKIN ST,,39.045125,-77.048135,,,,,,2
36,20036,AMHERST AVE & BLUERIDGE AVE,,39.043486,-77.047946,,,,,,2
38,20038,AMHERST AVE & UNIVERSITY BLVD,,39.040173,-77.048673,,,,,,2
40,20040,APPLE RIDGE RD & DARLINGTON DR,,39.184984,-77.209167,,,,,,2
42,20042,APPLE RIDGE RD & DELLCASTLE RD,,39.18507,-77.206939,,,,,,2
44,20044,APPLE RIDGE RD & SHADOW OAK DR,,39.185812,-77.202416,,,,,,2
46,20046,APPLE RIDGE RD & MONTGOMERY VILLAGE AVE,,39.187044,-77.199178,,,,,,2
48,20048,APPLE RIDGE RD & SHADOW OAK DR,,39.186006,-77.202393,,,,,,2
50,20050,APPLE RIDGE RD & DELLCASTLE RD,,39.185157,-77.206776,,,,,,2
52,20052,APPLE RIDGE RD & DARLINGTON DR,,39.185139,-77.209182,,,,,,2
58,20058,ARCOLA AVE & NAIRN RD,,39.047176,-77.042841,,,,,,2
60,20060,ARCOLA AVE & CHANNING DR,,39.047229,-77.040684,,,,,,2
62,20062,ARCOLA AVE & OREBAUGH AVE,,39.046984,-77.037027,,,,,,2
64,20064,ARCOLA AVE & KEMP MILL RD,,39.046038,-77.032436,,,,,,2
66,20066,ARCOLA AVE & KERSEY RD,,39.043701,-77.030749,,,,,,2
68,20068,ARCOLA AVE & LAMBERTON DR,,39.041426,-77.029351,,,,,,2
70,20070,ARCOLA AVE & KENBROOK DR,,39.039234,-77.027905,,,,,,2
72,20072,ARCOLA AVE & HOYT ST,,39.037571,-77.026775,,,,,,2
74,20074,ARCOLA AVE & UNIVERSITY BLVD,,39.036572,-77.025916,,,,,,2
78,20078,ARCOLA AVE & HOYT ST,,39.037799,-77.026747,,,,,,2
80,20080,ARCOLA AVE & KENBROOK DR,,39.039053,-77.027604,,,,,,2
82,20082,ARCOLA AVE & LAMBERTON DR,,39.040968,-77.028842,,,,,,2
84,20084,ARCOLA AVE & KERSEY RD,,39.043538,-77.030467,,,,,,2
86,20086,ARCOLA AVE & KEMP MILL RD,,39.046221,-77.032485,,,,,,2
88,20088,ARCOLA AVE & OREBAUGH AVE,,39.047102,-77.037073,,,,,,2
90,20090,ARCOLA AVE & CHANNING DR,,39.047329,-77.040781,,,,,,2
92,20092,ARCOLA AVE & NAIRN RD,,39.047295,-77.042774,,,,,,2
99,20099,KEMP MILL KNOLL DVWY & UNIVERSITY W BLVD,,39.037103,-77.028272,,,,,,2
100,20100,UNIVERSITY W BLVD & @1135 (ARCOLA TOWERS),PRIVATE RD & ACCESS RD,39.039045,-77.030487,,,,,,2
101,20101,KEMP MILL KNOLL & UNIVERSITY W BLVD,PRIVATE RD & ACCESS RD,39.037065,-77.028384,,,,,,2
102,20102,ARDENNES AVE & HALPINE RD,,39.064902,-77.117985,,,,,,2
104,20104,ARDENNES AVE & VANDEGRIFT AVE,,39.066561,-77.118305,,,,,,2
106,20106,ARDENNES AVE & WAINWRIGHT AVE,,39.069144,-77.118481,,,,,,2
108,20108,ARDENNES AVE & LEMAY RD,,39.070559,-77.119471,,,,,,2
110,20110,ARDENNES AVE & CRAWFORD DR,,39.071924,-77.119957,,,,,,2
112,20112,ARDENNES AVE & ST LO AVE,,39.074674,-77.120261,,,,,,2
114,20114,ARDENNES AVE & CORAL SEA AVE,,39.073303,-77.12023,,,,,,2
116,20116,ARDENNES AVE & CRAWFORD DR,,39.072357,-77.12009,,,,,,2
118,20118,ARDENNES AVE & LEMAY RD,,39.070734,-77.119733,,,,,,2
120,20120,ARDENNES AVE & WAINWRIGHT AVE,,39.069466,-77.118686,,,,,,2
122,20122,ARDENNES AVE & VANDEGRIFT AVE,,39.066824,-77.118436,,,,,,2
124,20124,ARDENNES AVE & HALPINE RD,,39.064859,-77.118164,,,,,,2
126,20126,ARLINGTON RD & KENWOOD FOREST LN,ARLINGTON RD & KENWOOD FOREST LA,38.975948,-77.099762,,,,,,2
128,20128,ARLINGTON RD & BRADLEY BLVD,,38.978372,-77.098647,,,,,,2
132,20132,ARLINGTON RD & ELM ST,,38.981872,-77.098353,,,,,,2
134,20134,ARLINGTON RD & MONTGOMERY LN,,38.983596,-77.098484,,,,,,2
136,20136,ARLINGTON RD & MONTGOMERY LN,,38.983431,-77.098668,,,,,,2
138,20138,ARLINGTON RD & ELM ST,,38.982197,-77.098584,,,,,,2
140,20140,ARLINGTON RD & BETHESDA AVE,,38.981041,-77.098526,,,,,,2
142,20142,ARLINGTON RD & BRADLEY BLVD,,38.978575,-77.09882,,,,,,2
146,20146,ARROWHEAD RD & QUILL PL,,39.186389,-77.195202,,,,,,2
148,20148,ARROWHEAD RD & MONTGOMERY VILLAGE AVE,,39.187489,-77.196617,,,,,,2
150,20150,ARROWHEAD RD & BRIAR GLEN WAY,,39.186656,-77.195769,,,,,,2
152,20152,ASPEN HILL RD & ADRIAN ST,,39.06986,-77.104035,,,,,,2
154,20154,ASPEN HILL RD & MARGOT DR,,39.07091,-77.102108,,,,,,2
156,20156,ASPEN HILL RD & ARCTIC AVE,,39.071333,-77.098535,,,,,,2
158,20158,ASPEN HILL RD & EADES ST,,39.073892,-77.094967,,,,,,2
160,20160,ASPEN HILL RD & IRIS ST,,39.075487,-77.093438,,,,,,2
162,20162,ASPEN HILL RD & JUSTICE RD,,39.077718,-77.091344,,,,,,2
164,20164,ASPEN HILL RD & MARIANNA DR,,39.078986,-77.089673,,,,,,2
166,20166,ASPEN HILL RD & PARKLAND DR,,39.079093,-77.087613,,,,,,2
168,20168,ASPEN HILL RD & GENOBLE DR,,39.079392,-77.08415,,,,,,2
170,20170,ASPEN HILL RD & CONNECTICUT AVE,,39.080005,-77.082382,,,,,,2
172,20172,ASPEN HILL RD & CONNECTICUT AVE,,39.080251,-77.081749,,,,,,2
174,20174,ASPEN HILL RD & FRANKFORT DR,,39.079734,-77.083593,,,,,,2
176,20176,ASPEN HILL RD & PARKLAND DR,,39.07921,-77.087521,,,,,,2
178,20178,ASPEN HILL RD & KEMPER ST,,39.078517,-77.09076,,,,,,2
180,20180,ASPEN HILL RD & IRIS ST,,39.075581,-77.093621,,,,,,2
182,20182,ASPEN HILL RD & EADES ST,,39.073925,-77.095102,,,,,,2
184,20184,ASPEN HILL RD & ARCTIC AVE,,39.071451,-77.098604,,,,,,2
186,20186,ASPEN HILL RD & BALTIC AVE,,39.071105,-77.101758,,,,,,2
188,20188,ASPEN HILL RD & ADRIAN ST,,39.069821,-77.104334,,,,,,2
190,20190,AVENEL RD & STATESIDE DR,,39.010232,-76.980218,,,,,,2
